task,method,seed,regret_auc,final_best,final_top50,final_top10pct
gap_max,dkl_cold_live,10,2.1442406442917044,7.351129491723217,23,30
gap_max,dkl_cold_live,11,1.5229343867341465,8.68143673805662,20,32
gap_max,dkl_cold_live,12,1.2219516743973893,7.586685082888464,21,30
gap_max,dkl_cold_live,13,1.4207189321892724,8.68143673805662,21,31
gap_max,dkl_cold_live,14,1.3384132026877702,8.68143673805662,19,29
gap_max,dkl_cold_live,15,1.5972343565467326,8.68143673805662,26,39
gap_max,dkl_cold_live,16,1.6988375580756028,8.68143673805662,26,36
gap_max,dkl_cold_live,17,0.8364065922692145,8.68143673805662,24,32
gap_max,dkl_cold_live,18,2.2162907889176124,8.68143673805662,22,32
gap_max,dkl_cold_live,19,1.4214207397789387,8.68143673805662,24,40
gap_max,dkl_cold_live,20,0.2570992052858482,8.68143673805662,28,37
gap_max,dkl_cold_live,21,2.4198558294887857,6.800169884150914,18,30
gap_max,dkl_cold_live,22,1.894510125027437,7.586685082888464,19,30
gap_max,dkl_cold_live,23,2.0001333972168025,7.00366850108305,20,34
gap_max,dkl_cold_live,24,2.181284072006866,6.800169884150914,16,24
gap_max,dkl_cold_live,25,2.5359973143837164,6.800169884150914,20,33
gap_max,dkl_cold_live,26,1.7513627796996891,7.00366850108305,10,17
gap_max,dkl_cold_live,27,0.6800736129912451,8.68143673805662,18,25
gap_max,dkl_cold_live,28,2.353464168255591,7.00366850108305,15,27
gap_max,dkl_cold_live,29,0.28898320121692356,8.68143673805662,22,32
gap_max,dkl_finetune,0,1.7337697470378917,8.68143673805662,24,37
gap_max,dkl_finetune,1,1.3711885138566566,8.68143673805662,24,32
gap_max,dkl_finetune,2,0.8483394111586742,8.68143673805662,30,39
gap_max,dkl_finetune,3,1.6879522625981018,7.586685082888464,31,49
gap_max,dkl_finetune,4,1.9221841582851158,7.586685082888464,35,53
gap_max,dkl_finetune,5,0.13147623129482544,8.68143673805662,28,36
gap_max,dkl_finetune,6,0.815022691436741,8.68143673805662,23,33
gap_max,dkl_finetune,7,1.4433270175057773,8.68143673805662,27,36
gap_max,dkl_finetune,8,0.28015787723967794,8.68143673805662,21,27
gap_max,dkl_finetune,9,0.8563692911193729,8.68143673805662,26,34
gap_max,dkl_finetune,10,0.8249575530360014,8.68143673805662,19,23
gap_max,dkl_finetune,11,1.3088617485206118,8.68143673805662,32,46
gap_max,dkl_finetune,12,0.5386021964689979,8.68143673805662,28,34
gap_max,dkl_finetune,13,1.9721459739805811,7.021843569419415,23,34
gap_max,dkl_finetune,14,1.8463012268679966,7.351129491723217,23,40
gap_max,dkl_finetune,15,1.9270549699214126,8.68143673805662,27,40
gap_max,dkl_finetune,16,1.7469851749810517,8.68143673805662,27,38
gap_max,dkl_finetune,17,0.3979836348106818,8.68143673805662,25,35
gap_max,dkl_finetune,18,0.6920923626068517,8.68143673805662,25,35
gap_max,dkl_finetune,19,1.1155047688518616,8.68143673805662,23,30
gap_max,dkl_finetune,20,1.211272310577489,8.68143673805662,26,37
gap_max,dkl_finetune,21,0.9210992830537614,8.68143673805662,30,39
gap_max,dkl_finetune,22,0.6154368241977336,8.68143673805662,19,26
gap_max,dkl_finetune,23,1.8036378384680791,7.00366850108305,20,30
gap_max,dkl_finetune,24,1.2899386642606305,7.586685082888464,26,37
gap_max,dkl_finetune,25,0.44453197194095595,8.68143673805662,23,30
gap_max,dkl_finetune,26,0.6128047371621872,8.68143673805662,26,36
gap_max,dkl_finetune,27,1.607293954430624,8.17697667577005,20,31
gap_max,dkl_finetune,28,0.7654017945301397,8.68143673805662,24,35
gap_max,dkl_finetune,29,0.13051188331422856,8.68143673805662,24,30
gap_max,dkl_frozen,0,0.8898636958554956,8.68143673805662,32,45
gap_max,dkl_frozen,1,0.563026831240538,8.68143673805662,33,44
gap_max,dkl_frozen,2,0.17847707243482908,8.68143673805662,31,40
gap_max,dkl_frozen,3,0.6080284290213469,8.572742466226543,32,42
gap_max,dkl_frozen,4,0.9263101243023192,8.68143673805662,32,43
gap_max,dkl_frozen,5,0.6273443886801173,8.68143673805662,29,40
